subscription_id,user_id,plan_id,trial_start_timestamp,auto_renew,cancel_requested_timestamp,cancel_effective_timestamp,cancellation_reason
35,287,3,2025-07-16 00:00:00,0,2025-10-08 00:00:00,2025-10-15 00:00:00,found_alternative
36,1143,2,2025-07-05 00:00:00,1,,,
37,137,2,2025-06-06 00:00:00,1,,,
38,864,4,2026-06-15 00:00:00,1,,,
39,958,4,2025-07-30 00:00:00,1,2026-01-12 00:00:00,2026-01-17 00:00:00,found_alternative
40,777,4,2025-04-28 00:00:00,1,,,
41,893,2,2026-01-17 00:00:00,1,,,
42,1352,3,2026-09-07 00:00:00,1,,,
43,1750,2,2025-03-29 00:00:00,1,2025-09-24 00:00:00,2025-09-25 00:00:00,not_enough_content
44,1777,2,2025-10-09 00:00:00,1,,,
45,109,3,2026-03-03 00:00:00,1,2026-04-18 00:00:00,2026-04-25 00:00:00,too_expensive
46,535,2,2026-07-15 00:00:00,0,2026-08-20 00:00:00,2026-08-20 00:00:00,too_expensive
47,1112,2,2026-05-17 00:00:00,1,,,
48,945,2,2026-01-09 00:00:00,1,2026-07-05 00:00:00,2026-07-12 00:00:00,found_alternative
49,362,3,2026-05-05 00:00:00,0,2026-09-06 00:00:00,2026-09-06 00:00:00,not_enough_content
50,1613,3,2026-03-11 00:00:00,1,,,
51,207,3,2025-06-26 00:00:00,1,,,
52,183,3,2025-06-26 00:00:00,0,,,
53,1710,2,2025-07-06 00:00:00,1,,,
54,1414,2,2025-12-21 00:00:00,0,,,
55,1054,3,2025-07-28 00:00:00,0,2025-10-13 00:00:00,2025-10-18 00:00:00,not_enough_content
56,978,4,2025-11-07 00:00:00,1,,,
57,791,2,2026-08-31 00:00:00,0,,,
58,1488,3,2026-04-07 00:00:00,1,2026-07-13 00:00:00,2026-07-15 00:00:00,technical_issues
59,426,4,2025-10-09 00:00:00,1,,,
60,500,3,2026-05-23 00:00:00,1,2026-09-06 00:00:00,2026-09-07 00:00:00,found_alternative
61,1413,3,2025-08-30 00:00:00,1,,,
62,517,4,2025-06-10 00:00:00,1,2025-07-29 00:00:00,2025-08-01 00:00:00,technical_issues
63,1675,1,2025-09-09 00:00:00,1,,,
64,1007,4,2025-07-18 00:00:00,1,2025-08-26 00:00:00,2025-09-01 00:00:00,found_alternative
65,951,2,2025-08-04 00:00:00,1,2025-12-14 00:00:00,2025-12-20 00:00:00,too_expensive
66,230,4,2026-01-14 00:00:00,1,,,
67,1220,1,2025-09-16 00:00:00,1,,,
68,375,2,2026-08-27 00:00:00,0,,,
69,1246,4,2026-06-08 00:00:00,0,2026-09-05 00:00:00,2026-09-06 00:00:00,technical_issues
70,1217,2,2025-03-25 00:00:00,0,2025-06-16 00:00:00,2025-06-22 00:00:00,not_enough_content
71,825,2,2026-04-18 00:00:00,1,,,
72,1102,1,2026-01-12 00:00:00,1,,,
73,1340,1,2026-02-22 00:00:00,1,,,
74,618,3,2026-05-11 00:00:00,0,,,
75,1479,1,2025-05-29 00:00:00,1,2025-10-17 00:00:00,2025-10-24 00:00:00,too_expensive
76,967,3,2026-08-16 00:00:00,0,,,
77,1680,4,2025-05-06 00:00:00,0,2025-10-11 00:00:00,2025-10-11 00:00:00,found_alternative
78,1633,3,2025-05-26 00:00:00,0,,,
79,1672,3,2026-08-17 00:00:00,1,,,
80,676,2,2025-05-11 00:00:00,1,,,
81,604,4,2026-02-16 00:00:00,1,2026-03-09 00:00:00,2026-03-12 00:00:00,found_alternative
82,1206,1,2026-04-27 00:00:00,0,,,
83,1538,1,2026-09-01 00:00:00,1,2026-09-05 00:00:00,2026-09-05 00:00:00,too_expensive
84,91,4,2025-10-31 00:00:00,1,,,
85,400,1,2026-05-26 00:00:00,0,,,
86,1059,3,2025-08-02 00:00:00,1,2026-02-01 00:00:00,2026-02-04 00:00:00,technical_issues
87,283,3,2026-01-19 00:00:00,0,,,
88,185,1,2026-03-14 00:00:00,0,2026-04-19 00:00:00,2026-04-23 00:00:00,too_expensive
89,1648,3,2025-07-26 00:00:00,1,,,
90,1719,3,2025-06-24 00:00:00,1,,,
91,724,2,2025-10-10 00:00:00,1,2026-03-12 00:00:00,2026-03-18 00:00:00,too_expensive
92,1253,4,2026-04-30 00:00:00,1,2026-09-03 00:00:00,2026-09-08 00:00:00,not_enough_content
93,701,2,2025-06-28 00:00:00,1,,,
94,1126,3,2025-06-21 00:00:00,0,,,
95,1703,4,2026-02-01 00:00:00,1,,,
96,549,4,2026-07-18 00:00:00,1,,,
97,10,4,2025-04-21 00:00:00,1,,,
98,1259,2,2025-06-03 00:00:00,1,2025-11-26 00:00:00,2025-12-02 00:00:00,not_enough_content
99,382,1,2025-03-23 00:00:00,1,,,
100,320,2,2025-05-02 00:00:00,0,,,
101,1145,2,2025-10-25 00:00:00,1,,,
102,884,1,2025-11-13 00:00:00,0,,,
103,466,2,2026-07-28 00:00:00,1,,,
104,870,1,2026-05-13 00:00:00,1,2026-09-03 00:00:00,2026-09-04 00:00:00,found_alternative
105,1581,1,2026-04-05 00:00:00,1,,,
106,933,3,2025-07-07 00:00:00,0,,,
107,566,4,2025-11-21 00:00:00,1,,,
108,86,1,2025-11-26 00:00:00,1,,,
109,1207,2,2025-05-12 00:00:00,1,,,
110,249,4,2025-11-28 00:00:00,0,2026-03-24 00:00:00,2026-03-24 00:00:00,not_enough_content
111,1222,2,2026-04-11 00:00:00,1,,,
112,762,3,2026-06-09 00:00:00,1,2026-07-29 00:00:00,2026-07-31 00:00:00,too_expensive
113,120,2,2025-07-05 00:00:00,1,,,
114,643,3,2025-10-05 00:00:00,1,2025-11-03 00:00:00,2025-11-10 00:00:00,not_enough_content
115,573,3,2026-04-03 00:00:00,1,,,
116,178,2,2025-11-24 00:00:00,1,,,
117,1289,4,2026-03-14 00:00:00,0,2026-05-06 00:00:00,2026-05-06 00:00:00,not_enough_content
118,1150,4,2026-03-10 00:00:00,1,,,
119,1186,3,2025-06-12 00:00:00,0,2025-08-19 00:00:00,2025-08-26 00:00:00,too_expensive
120,175,2,2025-10-25 00:00:00,1,2026-04-11 00:00:00,2026-04-12 00:00:00,technical_issues
121,841,2,2026-07-29 00:00:00,0,,,
122,1192,3,2026-05-16 00:00:00,1,2026-08-31 00:00:00,2026-09-06 00:00:00,technical_issues
123,49,2,2025-06-10 00:00:00,0,,,
124,420,2,2026-08-29 00:00:00,1,2026-09-07 00:00:00,2026-09-08 00:00:00,technical_issues
125,1753,4,2025-08-02 00:00:00,1,,,
126,1308,4,2026-07-17 00:00:00,0,2026-09-04 00:00:00,2026-09-04 00:00:00,too_expensive
127,1075,1,2026-03-27 00:00:00,0,,,
128,1356,3,2026-03-25 00:00:00,0,,,
129,593,4,2026-02-10 00:00:00,1,,,
130,648,3,2025-10-27 00:00:00,1,,,
131,700,4,2025-05-21 00:00:00,1,,,
132,117,3,2026-08-11 00:00:00,1,,,
133,1241,3,2026-02-16 00:00:00,1,,,
134,1410,3,2025-07-24 00:00:00,1,2025-11-04 00:00:00,2025-11-05 00:00:00,technical_issues
135,1725,4,2025-08-31 00:00:00,1,,,
136,1468,3,2025-08-16 00:00:00,1,,,
137,1764,4,2025-06-02 00:00:00,1,2025-07-11 00:00:00,2025-07-11 00:00:00,not_enough_content
138,754,2,2025-12-22 00:00:00,1,,,
139,413,3,2026-06-15 00:00:00,0,,,
140,158,4,2025-05-23 00:00:00,1,2025-06-08 00:00:00,2025-06-08 00:00:00,too_expensive
141,153,3,2026-09-01 00:00:00,1,,,
142,1103,2,2026-06-29 00:00:00,1,,,
143,341,4,2025-08-28 00:00:00,1,,,
144,1134,3,2026-02-21 00:00:00,0,2026-05-31 00:00:00,2026-06-05 00:00:00,not_enough_content
145,397,4,2026-01-14 00:00:00,1,,,
146,1429,1,2025-11-17 00:00:00,0,,,
147,1736,2,2025-04-11 00:00:00,1,,,
148,621,1,2026-07-19 00:00:00,1,2026-09-03 00:00:00,2026-09-07 00:00:00,too_expensive
149,1525,2,2026-02-23 00:00:00,1,2026-07-13 00:00:00,2026-07-14 00:00:00,not_enough_content
150,836,2,2026-01-05 00:00:00,1,,,
151,247,3,2026-05-06 00:00:00,1,2026-09-04 00:00:00,2026-09-06 00:00:00,technical_issues
152,1655,3,2026-09-03 00:00:00,1,,,
153,823,2,2026-07-02 00:00:00,0,,,
154,1049,2,2026-02-20 00:00:00,1,2026-08-15 00:00:00,2026-08-16 00:00:00,too_expensive
155,1463,4,2025-07-09 00:00:00,1,2025-12-02 00:00:00,2025-12-08 00:00:00,too_expensive
156,617,1,2025-11-22 00:00:00,1,2026-02-19 00:00:00,2026-02-24 00:00:00,too_expensive
157,389,2,2026-02-04 00:00:00,0,,,
158,1175,1,2026-06-26 00:00:00,1,2026-09-04 00:00:00,2026-09-08 00:00:00,too_expensive
159,1638,3,2026-05-13 00:00:00,1,2026-09-03 00:00:00,2026-09-07 00:00:00,technical_issues
160,1073,1,2026-07-17 00:00:00,1,,,
161,167,2,2025-05-26 00:00:00,1,,,
162,1364,4,2025-09-29 00:00:00,1,2026-03-07 00:00:00,2026-03-11 00:00:00,technical_issues
163,269,2,2025-06-04 00:00:00,1,2025-07-19 00:00:00,2025-07-21 00:00:00,too_expensive
164,702,3,2025-10-19 00:00:00,1,,,
165,1649,4,2025-09-22 00:00:00,1,,,
166,1177,3,2025-08-25 00:00:00,1,,,
167,1225,2,2026-03-17 00:00:00,0,,,
168,922,4,2025-06-02 00:00:00,0,,,
169,299,1,2025-05-11 00:00:00,1,,,
170,1696,3,2026-06-14 00:00:00,1,,,
171,187,1,2026-05-11 00:00:00,1,2026-07-17 00:00:00,2026-07-17 00:00:00,found_alternative
172,1292,2,2026-01-31 00:00:00,1,2026-08-03 00:00:00,2026-08-03 00:00:00,not_enough_content
173,552,3,2026-07-11 00:00:00,0,,,
174,837,2,2026-01-17 00:00:00,1,2026-07-10 00:00:00,2026-07-14 00:00:00,technical_issues
175,626,3,2026-01-16 00:00:00,0,,,
176,1,2,2025-07-13 00:00:00,1,,,
177,542,3,2025-04-17 00:00:00,1,,,
178,1519,2,2025-12-02 00:00:00,0,,,
179,322,2,2026-03-30 00:00:00,0,,,
180,1532,3,2026-04-16 00:00:00,1,2026-05-04 00:00:00,2026-05-08 00:00:00,found_alternative
181,502,1,2026-08-02 00:00:00,1,2026-09-07 00:00:00,2026-09-08 00:00:00,too_expensive
182,1044,3,2025-10-18 00:00:00,1,,,
183,394,3,2026-05-14 00:00:00,0,2026-09-07 00:00:00,2026-09-08 00:00:00,technical_issues
184,950,3,2025-11-28 00:00:00,1,2026-02-02 00:00:00,2026-02-09 00:00:00,found_alternative
185,707,3,2025-11-18 00:00:00,0,,,
186,1109,2,2026-06-01 00:00:00,0,,,
187,540,2,2025-05-31 00:00:00,1,,,
188,614,1,2026-08-28 00:00:00,1,2026-09-04 00:00:00,2026-09-04 00:00:00,not_enough_content
189,816,3,2026-01-12 00:00:00,1,,,
190,133,1,2026-01-28 00:00:00,1,,,
191,1674,1,2025-08-23 00:00:00,1,,,
192,1028,1,2025-06-29 00:00:00,1,,,
193,329,2,2026-05-10 00:00:00,1,2026-09-06 00:00:00,2026-09-08 00:00:00,found_alternative
194,795,4,2025-05-11 00:00:00,1,2025-08-27 00:00:00,2025-08-31 00:00:00,found_alternative
195,1623,4,2025-10-08 00:00:00,1,,,
196,136,4,2025-11-22 00:00:00,1,2026-02-11 00:00:00,2026-02-18 00:00:00,too_expensive
197,1113,1,2026-02-27 00:00:00,1,,,
198,963,1,2025-09-13 00:00:00,1,,,
199,1218,3,2026-08-08 00:00:00,0,,,
200,1524,4,2025-05-07 00:00:00,0,2025-10-15 00:00:00,2025-10-19 00:00:00,technical_issues
201,42,3,2026-01-15 00:00:00,1,,,
202,363,3,2026-02-23 00:00:00,1,2026-05-25 00:00:00,2026-05-28 00:00:00,not_enough_content
203,1242,4,2025-09-10 00:00:00,1,2025-11-03 00:00:00,2025-11-03 00:00:00,found_alternative
204,1722,1,2026-04-19 00:00:00,1,2026-05-23 00:00:00,2026-05-26 00:00:00,not_enough_content
205,1275,2,2025-09-19 00:00:00,0,2026-01-29 00:00:00,2026-01-29 00:00:00,too_expensive
206,205,1,2025-06-07 00:00:00,1,,,
207,1099,4,2025-12-23 00:00:00,0,,,
208,21,4,2025-12-29 00:00:00,0,,,
209,476,3,2025-06-09 00:00:00,1,,,
210,69,1,2026-02-17 00:00:00,1,,,
211,461,2,2026-06-20 00:00:00,1,,,
212,1594,4,2026-08-12 00:00:00,1,2026-09-07 00:00:00,2026-09-08 00:00:00,technical_issues
213,1306,1,2025-09-29 00:00:00,0,,,
214,1484,3,2026-04-25 00:00:00,1,2026-07-23 00:00:00,2026-07-24 00:00:00,technical_issues
215,494,1,2026-04-13 00:00:00,1,,,
216,23,1,2025-09-01 00:00:00,1,,,
217,913,1,2025-11-10 00:00:00,1,,,
218,733,3,2025-09-03 00:00:00,1,,,
219,1589,3,2025-12-29 00:00:00,1,,,
220,173,4,2025-12-31 00:00:00,1,,,
221,1247,1,2025-07-06 00:00:00,1,2025-10-31 00:00:00,2025-11-04 00:00:00,technical_issues
222,572,3,2026-05-30 00:00:00,1,2026-09-07 00:00:00,2026-09-08 00:00:00,found_alternative
223,1092,3,2026-06-16 00:00:00,1,,,
224,1436,2,2025-07-01 00:00:00,1,2025-12-28 00:00:00,2026-01-03 00:00:00,found_alternative
225,855,2,2026-04-11 00:00:00,0,,,
226,783,3,2025-07-16 00:00:00,1,,,
227,47,2,2025-11-08 00:00:00,1,,,
228,804,4,2025-11-22 00:00:00,1,,,
229,1636,3,2026-07-20 00:00:00,0,,,
230,734,1,2026-01-27 00:00:00,1,2026-02-21 00:00:00,2026-02-25 00:00:00,found_alternative
231,1602,1,2026-01-04 00:00:00,0,,,
232,942,1,2025-03-26 00:00:00,1,2025-06-26 00:00:00,2025-07-03 00:00:00,found_alternative
233,1302,1,2026-04-16 00:00:00,1,,,
234,38,3,2026-06-30 00:00:00,1,2026-09-05 00:00:00,2026-09-08 00:00:00,found_alternative
235,219,3,2025-09-06 00:00:00,1,2026-03-09 00:00:00,2026-03-13 00:00:00,not_enough_content
236,1760,2,2025-05-08 00:00:00,1,,,
237,346,4,2025-10-30 00:00:00,1,2025-12-02 00:00:00,2025-12-04 00:00:00,technical_issues
238,1495,2,2025-07-03 00:00:00,1,2025-09-08 00:00:00,2025-09-10 00:00:00,not_enough_content
239,1608,2,2026-06-24 00:00:00,0,,,
240,1029,1,2026-04-02 00:00:00,1,,,
241,1135,4,2025-07-23 00:00:00,1,,,
242,753,1,2025-04-09 00:00:00,1,2025-09-21 00:00:00,2025-09-21 00:00:00,too_expensive
243,1226,1,2025-05-31 00:00:00,1,,,
244,174,1,2026-07-31 00:00:00,1,,,
245,882,4,2025-04-24 00:00:00,0,,,
246,250,4,2025-04-27 00:00:00,1,2025-09-12 00:00:00,2025-09-15 00:00:00,not_enough_content
247,853,3,2026-02-07 00:00:00,1,,,
248,353,1,2025-04-14 00:00:00,1,,,
249,1559,2,2026-03-17 00:00:00,0,,,
250,1149,4,2025-07-10 00:00:00,1,2025-12-29 00:00:00,2026-01-04 00:00:00,found_alternative
251,1528,4,2026-03-31 00:00:00,0,2026-09-05 00:00:00,2026-09-08 00:00:00,technical_issues
252,74,2,2026-05-02 00:00:00,1,,,
253,1249,3,2026-06-06 00:00:00,1,,,
254,406,3,2026-01-27 00:00:00,1,,,
255,380,4,2025-05-01 00:00:00,0,,,
256,1664,1,2026-01-05 00:00:00,1,2026-02-26 00:00:00,2026-02-26 00:00:00,too_expensive
257,1550,1,2026-01-17 00:00:00,1,,,
258,1172,1,2025-10-26 00:00:00,1,,,
259,915,3,2025-12-03 00:00:00,1,2026-04-04 00:00:00,2026-04-11 00:00:00,technical_issues
260,571,2,2026-03-08 00:00:00,1,,,
261,735,1,2026-01-11 00:00:00,1,,,
262,1568,4,2025-04-20 00:00:00,0,2025-09-21 00:00:00,2025-09-28 00:00:00,not_enough_content
263,874,2,2025-12-13 00:00:00,1,,,
264,462,4,2025-12-11 00:00:00,1,2025-12-23 00:00:00,2025-12-24 00:00:00,not_enough_content
265,1423,4,2025-04-13 00:00:00,1,2025-09-25 00:00:00,2025-09-30 00:00:00,not_enough_content
266,44,1,2025-10-02 00:00:00,0,,,
267,1205,4,2025-11-01 00:00:00,1,2026-03-02 00:00:00,2026-03-05 00:00:00,too_expensive
268,603,3,2026-08-08 00:00:00,1,,,
269,1219,2,2026-06-02 00:00:00,1,2026-07-31 00:00:00,2026-08-05 00:00:00,technical_issues
270,37,3,2025-04-30 00:00:00,1,2025-11-16 00:00:00,2025-11-23 00:00:00,technical_issues
271,873,1,2026-07-10 00:00:00,0,2026-09-01 00:00:00,2026-09-06 00:00:00,not_enough_content
272,1632,4,2025-06-17 00:00:00,0,2025-10-06 00:00:00,2025-10-06 00:00:00,technical_issues
273,395,2,2026-02-17 00:00:00,1,,,
274,727,4,2025-11-06 00:00:00,0,,,
275,1754,3,2025-12-12 00:00:00,1,,,
276,1046,2,2025-10-20 00:00:00,1,,,
277,1072,1,2025-05-21 00:00:00,1,2025-11-21 00:00:00,2025-11-23 00:00:00,not_enough_content
278,857,3,2025-08-19 00:00:00,1,2025-09-04 00:00:00,2025-09-09 00:00:00,technical_issues
279,1009,1,2025-11-14 00:00:00,1,,,
280,982,4,2026-04-25 00:00:00,0,,,
