assignment_id,experiment_id,user_id,variant,assignment_timestamp
164,1,1322,control,2026-09-04 00:00:00
165,1,700,control,2025-05-17 00:00:00
166,2,1591,control,2025-07-26 00:00:00
167,2,168,control,2025-06-15 00:00:00
168,2,265,treatment,2025-06-19 00:00:00
169,2,1427,treatment,2026-08-25 00:00:00
170,2,1391,control,2026-02-07 00:00:00
171,3,1329,control,2026-05-29 00:00:00
172,2,1566,control,2026-08-31 00:00:00
173,3,90,treatment,2026-04-07 00:00:00
174,3,1016,control,2026-05-22 00:00:00
175,1,1328,control,2026-04-20 00:00:00
176,3,1178,control,2026-04-01 00:00:00
177,1,1778,control,2026-08-26 00:00:00
178,2,176,treatment,2025-08-19 00:00:00
179,2,840,treatment,2026-06-27 00:00:00
180,2,1492,control,2025-06-29 00:00:00
181,3,242,control,2025-08-14 00:00:00
182,3,1693,control,2025-08-22 00:00:00
183,3,1067,control,2025-09-02 00:00:00
184,1,1768,control,2026-01-15 00:00:00
185,3,20,control,2026-06-22 00:00:00
186,3,488,control,2026-05-22 00:00:00
187,1,1115,treatment,2026-05-04 00:00:00
188,3,1550,treatment,2026-01-20 00:00:00
189,2,628,control,2026-05-09 00:00:00
190,2,526,control,2025-10-19 00:00:00
191,1,1597,control,2025-07-31 00:00:00
192,3,371,treatment,2026-06-06 00:00:00
193,3,1572,treatment,2025-08-29 00:00:00
194,2,1312,control,2026-06-29 00:00:00
195,3,735,control,2026-01-23 00:00:00
196,2,518,treatment,2026-06-15 00:00:00
197,2,171,treatment,2026-09-02 00:00:00
198,1,526,treatment,2025-10-24 00:00:00
199,1,851,control,2026-05-18 00:00:00
200,2,195,treatment,2025-11-30 00:00:00
201,1,885,treatment,2026-01-07 00:00:00
202,2,144,treatment,2025-09-18 00:00:00
203,3,1560,control,2026-06-16 00:00:00
204,2,1473,treatment,2025-12-07 00:00:00
205,3,92,treatment,2025-08-28 00:00:00
206,3,400,control,2026-05-30 00:00:00
207,3,1403,treatment,2025-09-01 00:00:00
208,3,1697,treatment,2026-05-23 00:00:00
209,2,1564,treatment,2026-05-26 00:00:00
210,3,304,treatment,2025-08-17 00:00:00
211,3,406,treatment,2026-01-23 00:00:00
212,2,1757,control,2026-04-01 00:00:00
213,1,981,control,2025-06-26 00:00:00
214,1,1341,control,2025-06-11 00:00:00
215,3,1504,control,2025-09-29 00:00:00
216,2,1382,control,2025-06-15 00:00:00
217,3,446,control,2026-09-04 00:00:00
218,3,114,control,2026-07-02 00:00:00
219,3,532,control,2026-06-04 00:00:00
220,1,323,control,2025-05-03 00:00:00
221,2,1197,control,2026-03-17 00:00:00
222,1,1610,treatment,2026-06-22 00:00:00
223,3,858,treatment,2026-08-09 00:00:00
224,3,581,control,2026-06-03 00:00:00
225,2,502,treatment,2026-08-13 00:00:00
226,2,804,control,2025-11-29 00:00:00
227,3,1180,treatment,2026-03-01 00:00:00
228,1,633,treatment,2026-03-06 00:00:00
229,3,214,control,2026-08-01 00:00:00
230,1,1136,control,2026-05-30 00:00:00
231,3,208,treatment,2025-08-29 00:00:00
232,2,412,treatment,2026-06-26 00:00:00
233,2,1334,control,2026-03-02 00:00:00
234,1,342,treatment,2025-07-17 00:00:00
235,1,707,treatment,2025-11-27 00:00:00
236,2,1452,control,2026-05-29 00:00:00
237,2,798,treatment,2025-07-30 00:00:00
238,3,496,control,2025-08-17 00:00:00
239,2,609,treatment,2025-12-06 00:00:00
240,1,1243,control,2026-07-09 00:00:00
241,2,205,control,2025-06-20 00:00:00
242,3,1413,treatment,2025-08-29 00:00:00
243,2,310,treatment,2026-05-30 00:00:00
244,3,1429,treatment,2025-11-18 00:00:00
245,1,497,control,2026-04-01 00:00:00
246,3,1405,control,2025-08-17 00:00:00
247,1,1138,control,2026-06-13 00:00:00
248,3,627,treatment,2025-11-18 00:00:00
249,1,1515,control,2026-02-15 00:00:00
250,1,966,control,2026-04-03 00:00:00
251,2,1753,control,2025-08-09 00:00:00
252,3,1502,treatment,2026-07-20 00:00:00
253,1,298,treatment,2025-12-19 00:00:00
254,1,1654,treatment,2025-08-11 00:00:00
255,2,893,control,2026-02-06 00:00:00
256,3,838,control,2026-08-19 00:00:00
257,1,1438,control,2025-08-25 00:00:00
258,1,57,control,2026-04-20 00:00:00
259,2,1366,control,2025-08-20 00:00:00
260,2,1100,treatment,2026-02-17 00:00:00
261,1,1255,treatment,2026-03-05 00:00:00
262,3,1633,treatment,2025-08-22 00:00:00
263,2,1733,control,2026-08-22 00:00:00
264,3,741,treatment,2025-12-20 00:00:00
265,2,784,treatment,2026-05-15 00:00:00
266,1,1128,control,2025-06-23 00:00:00
267,2,817,treatment,2026-08-30 00:00:00
268,1,876,treatment,2026-05-07 00:00:00
269,1,618,treatment,2026-05-21 00:00:00
270,1,1753,treatment,2025-08-12 00:00:00
271,1,379,control,2025-12-19 00:00:00
272,3,1063,control,2026-02-19 00:00:00
273,2,1414,control,2025-12-26 00:00:00
274,3,89,treatment,2026-05-15 00:00:00
275,3,738,treatment,2026-07-19 00:00:00
276,3,1651,control,2026-06-04 00:00:00
277,2,313,treatment,2025-06-28 00:00:00
278,2,164,treatment,2025-06-29 00:00:00
279,1,860,treatment,2025-08-04 00:00:00
280,2,1557,control,2026-06-19 00:00:00
281,3,1103,control,2026-07-10 00:00:00
282,3,920,control,2026-01-21 00:00:00
283,2,722,treatment,2025-11-27 00:00:00
284,3,380,treatment,2025-08-26 00:00:00
285,2,419,treatment,2026-01-18 00:00:00
286,3,1459,control,2025-11-26 00:00:00
287,3,1120,treatment,2026-01-31 00:00:00
288,3,822,control,2025-12-10 00:00:00
289,3,811,treatment,2025-08-22 00:00:00
290,1,1495,control,2025-07-03 00:00:00
291,2,1041,control,2026-03-11 00:00:00
292,1,1664,treatment,2026-01-16 00:00:00
293,2,128,control,2026-02-13 00:00:00
294,1,497,control,2026-03-12 00:00:00
295,3,1604,treatment,2025-10-26 00:00:00
296,2,1108,treatment,2025-11-05 00:00:00
297,3,244,control,2025-08-15 00:00:00
298,1,1616,treatment,2026-01-31 00:00:00
299,2,264,treatment,2026-02-19 00:00:00
300,2,156,control,2025-12-04 00:00:00
301,3,796,treatment,2025-10-18 00:00:00
302,2,1338,treatment,2025-12-19 00:00:00
303,2,1625,control,2025-11-22 00:00:00
304,2,871,control,2025-09-02 00:00:00
305,1,1464,treatment,2026-08-30 00:00:00
306,2,304,treatment,2025-06-25 00:00:00
307,3,661,treatment,2025-08-18 00:00:00
308,3,661,treatment,2025-08-17 00:00:00
309,1,94,control,2026-08-21 00:00:00
310,1,1594,control,2026-08-24 00:00:00
311,2,137,treatment,2025-06-17 00:00:00
312,3,1644,control,2026-06-24 00:00:00
313,1,875,control,2026-02-26 00:00:00
314,3,198,treatment,2026-07-05 00:00:00
315,1,1292,treatment,2026-02-13 00:00:00
316,1,825,treatment,2026-05-01 00:00:00
317,2,1029,treatment,2026-04-01 00:00:00
318,2,114,treatment,2026-06-24 00:00:00
319,1,96,control,2025-05-21 00:00:00
320,2,576,treatment,2026-03-07 00:00:00
321,2,1239,treatment,2026-05-20 00:00:00
322,2,1344,control,2026-02-01 00:00:00
323,1,426,control,2025-10-23 00:00:00
324,3,644,control,2026-02-12 00:00:00
325,1,1110,treatment,2026-07-11 00:00:00
326,2,1175,control,2026-06-27 00:00:00
327,2,418,control,2025-07-03 00:00:00
328,2,1332,treatment,2026-03-01 00:00:00
329,3,119,treatment,2026-08-23 00:00:00
330,3,379,control,2025-12-03 00:00:00
331,2,491,treatment,2026-06-01 00:00:00
332,1,1493,treatment,2026-03-20 00:00:00
333,2,940,treatment,2026-04-28 00:00:00
334,2,523,control,2025-12-25 00:00:00
335,2,780,treatment,2026-02-21 00:00:00
336,2,1054,control,2025-08-16 00:00:00
337,2,66,treatment,2026-04-29 00:00:00
338,2,197,control,2025-10-13 00:00:00
339,1,1533,control,2026-03-10 00:00:00
340,2,383,treatment,2026-09-07 00:00:00
341,3,1710,treatment,2025-08-25 00:00:00
342,2,1237,control,2026-01-17 00:00:00
343,2,908,treatment,2025-07-01 00:00:00
344,1,1648,control,2025-08-10 00:00:00
345,2,475,control,2026-02-15 00:00:00
346,3,611,treatment,2026-01-06 00:00:00
347,3,1362,treatment,2026-03-20 00:00:00
348,3,1660,control,2026-02-21 00:00:00
349,2,688,control,2025-06-24 00:00:00
350,1,1662,treatment,2026-03-18 00:00:00
351,2,793,treatment,2026-08-13 00:00:00
352,3,1511,control,2025-08-14 00:00:00
353,1,1169,control,2025-08-13 00:00:00
354,2,1216,control,2025-07-19 00:00:00
355,1,1618,treatment,2025-09-12 00:00:00
356,2,46,control,2025-06-27 00:00:00
357,2,1646,treatment,2026-09-07 00:00:00
358,2,17,control,2025-10-12 00:00:00
359,1,885,control,2026-01-15 00:00:00
360,1,1352,treatment,2026-09-08 00:00:00
361,1,1551,treatment,2026-01-31 00:00:00
362,3,1048,treatment,2025-11-12 00:00:00
363,3,1691,control,2026-01-23 00:00:00
364,1,1064,control,2025-05-04 00:00:00
365,2,1188,treatment,2026-06-20 00:00:00
366,1,1355,control,2026-08-19 00:00:00
367,3,1680,control,2025-08-22 00:00:00
368,2,1349,control,2026-04-15 00:00:00
369,3,788,treatment,2026-05-27 00:00:00
370,3,461,treatment,2026-07-02 00:00:00
371,2,258,control,2025-12-04 00:00:00
372,3,938,control,2026-01-16 00:00:00
373,3,501,control,2025-10-29 00:00:00
374,3,771,treatment,2025-09-05 00:00:00
375,2,553,control,2025-12-16 00:00:00
376,1,1399,control,2026-09-01 00:00:00
377,2,439,control,2025-11-27 00:00:00
378,1,29,treatment,2026-03-09 00:00:00
379,1,378,control,2025-10-14 00:00:00
380,3,1432,control,2026-04-13 00:00:00
381,1,1554,treatment,2025-09-05 00:00:00
382,2,1273,treatment,2025-09-01 00:00:00
383,2,1161,treatment,2026-02-11 00:00:00
384,2,138,control,2025-06-22 00:00:00
385,3,598,treatment,2025-11-26 00:00:00
386,1,1147,control,2026-07-30 00:00:00
387,1,1093,treatment,2025-06-19 00:00:00
388,1,1771,treatment,2025-07-11 00:00:00
389,3,1192,treatment,2026-05-24 00:00:00
390,3,1498,control,2025-08-23 00:00:00
391,1,1319,treatment,2025-12-06 00:00:00
392,2,963,control,2025-09-27 00:00:00
393,3,6,control,2025-08-20 00:00:00
394,1,1415,treatment,2026-06-20 00:00:00
395,2,874,treatment,2025-12-17 00:00:00
396,1,1114,control,2026-06-24 00:00:00
397,3,863,treatment,2025-08-26 00:00:00
398,1,37,control,2025-05-14 00:00:00
399,3,1081,control,2025-08-23 00:00:00
400,2,817,treatment,2026-09-08 00:00:00
401,3,1654,control,2025-08-24 00:00:00
402,2,620,control,2025-11-19 00:00:00
403,2,1184,control,2025-08-29 00:00:00
404,3,1096,treatment,2025-09-02 00:00:00
405,3,454,control,2026-02-07 00:00:00
406,2,1481,treatment,2026-08-31 00:00:00
407,3,1556,control,2026-03-16 00:00:00
408,1,1405,control,2025-05-25 00:00:00
409,2,1445,treatment,2026-07-02 00:00:00
410,3,1529,control,2026-06-18 00:00:00
411,1,974,control,2025-07-17 00:00:00
412,3,1546,treatment,2026-02-08 00:00:00
413,2,705,control,2025-06-18 00:00:00
414,1,1576,control,2026-04-05 00:00:00
415,2,887,treatment,2025-06-26 00:00:00
416,2,1417,control,2025-09-03 00:00:00
417,2,412,control,2026-06-15 00:00:00
418,2,412,treatment,2026-06-27 00:00:00
419,2,1551,control,2026-01-28 00:00:00
420,1,851,control,2026-05-29 00:00:00
421,2,748,treatment,2026-03-01 00:00:00
422,3,224,treatment,2026-07-08 00:00:00
423,2,1131,treatment,2026-04-11 00:00:00
424,3,419,control,2026-01-18 00:00:00
425,2,1657,control,2026-01-26 00:00:00
426,2,1799,control,2026-09-08 00:00:00
427,3,238,control,2026-08-27 00:00:00
428,3,1414,control,2025-12-28 00:00:00
429,3,983,control,2025-08-27 00:00:00
430,2,927,control,2025-12-13 00:00:00
431,2,1246,treatment,2026-06-11 00:00:00
432,2,156,treatment,2025-11-25 00:00:00
433,1,560,treatment,2025-05-03 00:00:00
434,3,320,treatment,2025-08-17 00:00:00
435,2,723,control,2025-12-25 00:00:00
436,3,899,control,2026-04-04 00:00:00
437,3,1631,control,2025-09-02 00:00:00
438,1,232,treatment,2025-05-31 00:00:00
439,2,1323,control,2026-09-06 00:00:00
440,2,539,control,2025-11-01 00:00:00
441,2,187,control,2026-05-31 00:00:00
442,1,1567,control,2025-09-02 00:00:00
443,2,1546,control,2026-02-10 00:00:00
444,2,1527,treatment,2025-08-01 00:00:00
445,1,23,treatment,2025-09-14 00:00:00
446,1,1456,treatment,2026-02-02 00:00:00
447,3,539,treatment,2025-11-18 00:00:00
448,1,538,control,2026-03-25 00:00:00
449,2,1534,control,2025-09-28 00:00:00
450,2,1603,treatment,2026-08-09 00:00:00
451,1,1799,control,2026-08-30 00:00:00
452,1,117,control,2026-08-21 00:00:00
453,1,317,treatment,2025-09-02 00:00:00
454,2,45,treatment,2025-06-26 00:00:00
455,3,343,treatment,2026-04-24 00:00:00
456,1,1586,treatment,2026-04-09 00:00:00
457,2,1607,control,2025-07-03 00:00:00
458,2,1605,treatment,2025-08-09 00:00:00
459,3,158,control,2025-08-30 00:00:00
460,1,486,control,2026-02-26 00:00:00
461,3,1190,control,2026-08-15 00:00:00
462,2,966,control,2026-04-14 00:00:00
463,2,775,control,2026-01-15 00:00:00
464,2,1342,treatment,2025-08-26 00:00:00
465,2,548,treatment,2025-08-02 00:00:00
466,1,1064,treatment,2025-04-29 00:00:00
467,1,48,control,2026-01-26 00:00:00
468,2,729,treatment,2026-01-03 00:00:00
469,1,552,control,2026-07-26 00:00:00
470,1,191,control,2025-05-31 00:00:00
471,3,1460,treatment,2026-05-30 00:00:00
472,1,1448,control,2025-04-17 00:00:00
473,2,938,control,2026-01-31 00:00:00
474,2,574,treatment,2025-06-21 00:00:00
475,2,1682,treatment,2025-11-06 00:00:00
476,1,1486,treatment,2025-05-08 00:00:00
477,2,1014,treatment,2026-06-06 00:00:00
478,2,183,control,2025-06-28 00:00:00
479,1,695,treatment,2026-06-28 00:00:00
480,3,116,control,2025-12-17 00:00:00
481,2,71,control,2025-11-14 00:00:00
482,1,1081,control,2025-05-03 00:00:00
483,1,1608,treatment,2026-07-02 00:00:00
484,2,422,treatment,2025-07-06 00:00:00
485,2,793,treatment,2026-08-14 00:00:00
486,1,576,treatment,2026-03-09 00:00:00
487,1,1579,treatment,2025-09-08 00:00:00
488,2,1290,control,2026-08-26 00:00:00
489,2,1721,treatment,2026-01-11 00:00:00
490,2,707,control,2025-12-05 00:00:00
491,3,230,control,2026-01-19 00:00:00
492,2,511,control,2025-09-07 00:00:00
493,1,379,treatment,2025-12-21 00:00:00
494,2,1201,treatment,2026-07-29 00:00:00
495,1,1576,treatment,2026-04-07 00:00:00
496,3,408,control,2025-11-07 00:00:00
497,2,851,treatment,2026-05-24 00:00:00
498,3,650,treatment,2025-12-27 00:00:00
499,3,278,treatment,2026-01-02 00:00:00
500,3,1317,control,2025-09-16 00:00:00
501,2,1182,control,2025-06-25 00:00:00
502,1,1303,treatment,2026-07-18 00:00:00
503,2,274,treatment,2026-03-11 00:00:00
504,3,1249,control,2026-06-07 00:00:00
505,3,751,treatment,2025-08-31 00:00:00
506,3,1533,control,2026-03-10 00:00:00
507,2,1272,control,2025-09-28 00:00:00
508,1,1290,treatment,2026-08-25 00:00:00
509,2,1036,treatment,2026-07-05 00:00:00
510,2,1733,control,2026-08-15 00:00:00
511,1,288,treatment,2025-07-09 00:00:00
512,1,1245,treatment,2025-07-04 00:00:00
513,3,575,treatment,2026-08-18 00:00:00
514,2,812,treatment,2026-07-13 00:00:00
515,2,1162,treatment,2026-03-04 00:00:00
516,1,608,treatment,2026-03-22 00:00:00
517,3,37,control,2025-08-19 00:00:00
518,3,521,treatment,2025-10-08 00:00:00
519,1,199,control,2025-08-23 00:00:00
520,1,57,treatment,2026-04-04 00:00:00
521,3,1036,treatment,2026-07-14 00:00:00
522,1,1687,treatment,2026-01-25 00:00:00
523,1,1426,control,2026-05-12 00:00:00
524,2,418,treatment,2025-06-25 00:00:00
525,2,1661,control,2025-11-14 00:00:00
526,3,1375,treatment,2025-09-03 00:00:00
527,2,1219,treatment,2026-06-08 00:00:00
528,2,1036,control,2026-07-04 00:00:00
529,2,589,control,2026-08-10 00:00:00
530,3,1025,control,2026-07-05 00:00:00
531,3,871,treatment,2025-09-04 00:00:00
532,1,1568,control,2025-04-20 00:00:00
533,2,1760,control,2025-06-18 00:00:00
534,1,1432,control,2026-04-22 00:00:00
535,1,1489,treatment,2025-12-06 00:00:00
536,1,925,control,2026-02-01 00:00:00
537,1,673,treatment,2026-06-12 00:00:00
538,2,1426,treatment,2026-04-30 00:00:00
539,1,1564,control,2026-05-13 00:00:00
540,3,789,control,2025-08-14 00:00:00
541,3,1778,control,2026-09-06 00:00:00
542,2,1122,control,2026-04-17 00:00:00
543,1,461,treatment,2026-06-24 00:00:00
544,1,617,treatment,2025-11-19 00:00:00
545,2,223,control,2025-12-16 00:00:00
546,2,402,control,2025-09-11 00:00:00
547,3,293,treatment,2026-03-08 00:00:00
548,3,859,control,2025-08-25 00:00:00
549,3,1353,control,2025-08-23 00:00:00
550,2,242,control,2025-06-29 00:00:00
551,3,1422,control,2026-03-17 00:00:00
552,1,1063,treatment,2026-03-03 00:00:00
553,3,71,treatment,2025-11-24 00:00:00
554,3,426,treatment,2025-10-25 00:00:00
555,2,717,control,2025-11-22 00:00:00
556,3,17,control,2025-10-25 00:00:00
557,1,538,control,2026-03-20 00:00:00
558,1,151,control,2026-04-16 00:00:00
559,3,1253,control,2026-05-14 00:00:00
560,2,709,treatment,2025-06-24 00:00:00
561,1,1581,treatment,2026-04-15 00:00:00
562,1,627,treatment,2025-11-07 00:00:00
563,3,698,treatment,2026-06-19 00:00:00
564,2,20,control,2026-06-28 00:00:00
565,2,7,control,2025-07-01 00:00:00
566,3,383,treatment,2026-09-05 00:00:00
567,2,1703,treatment,2026-02-07 00:00:00
568,1,1332,treatment,2026-02-26 00:00:00
569,3,191,control,2025-08-23 00:00:00
570,1,273,control,2025-08-03 00:00:00
571,3,699,control,2026-02-01 00:00:00
572,2,1342,treatment,2025-08-20 00:00:00
573,3,368,treatment,2026-01-02 00:00:00
574,2,545,treatment,2025-07-02 00:00:00
575,3,1399,treatment,2026-08-19 00:00:00
576,2,892,treatment,2025-09-15 00:00:00
577,1,400,control,2026-05-31 00:00:00
578,2,979,treatment,2026-04-28 00:00:00
579,2,929,treatment,2026-01-22 00:00:00
580,1,405,control,2025-05-01 00:00:00
581,1,390,treatment,2025-07-23 00:00:00
582,3,538,control,2026-03-13 00:00:00
583,2,542,control,2025-06-21 00:00:00
584,1,595,control,2025-06-19 00:00:00
585,1,1769,control,2025-08-01 00:00:00
586,2,47,treatment,2025-11-12 00:00:00
587,1,1639,control,2026-05-11 00:00:00
588,2,826,control,2025-10-06 00:00:00
589,3,583,control,2026-07-07 00:00:00
590,1,563,treatment,2026-05-17 00:00:00
591,3,642,control,2025-08-28 00:00:00
592,2,900,treatment,2026-04-07 00:00:00
593,3,1384,control,2026-04-06 00:00:00
594,2,1414,treatment,2026-01-04 00:00:00
595,1,1080,control,2025-11-03 00:00:00
596,3,1514,treatment,2026-02-18 00:00:00
597,1,1149,control,2025-07-11 00:00:00
598,1,51,control,2025-07-16 00:00:00
599,1,1565,treatment,2026-04-13 00:00:00
600,2,1481,control,2026-08-31 00:00:00
601,2,424,control,2026-01-30 00:00:00
602,2,283,control,2026-01-22 00:00:00
603,2,653,treatment,2025-07-05 00:00:00
604,2,298,treatment,2025-12-07 00:00:00
605,3,207,control,2025-08-22 00:00:00
606,2,350,treatment,2026-02-06 00:00:00
607,1,1275,control,2025-09-26 00:00:00
608,1,448,control,2025-05-13 00:00:00
609,1,1659,control,2025-09-01 00:00:00
610,1,876,control,2026-05-13 00:00:00
611,2,563,control,2026-05-12 00:00:00
612,1,815,treatment,2026-08-27 00:00:00
613,3,980,control,2026-04-09 00:00:00
614,1,115,control,2025-04-16 00:00:00
615,2,319,treatment,2025-08-09 00:00:00
616,2,327,treatment,2025-07-12 00:00:00
617,2,1219,treatment,2026-06-08 00:00:00
618,1,378,control,2025-09-28 00:00:00
619,1,1119,control,2026-06-14 00:00:00
620,1,1689,treatment,2025-11-29 00:00:00
621,3,1518,treatment,2026-07-26 00:00:00
