content_id,title,genre,duration_minutes,is_live
236,Title_236,Kabaddi,137,0
237,Title_237,Football,22,0
238,Title_238,Drama,163,0
239,Title_239,Action,31,0
240,Title_240,Kabaddi,93,1
241,Title_241,Documentary,35,0
242,Title_242,Cricket,121,0
243,Title_243,Drama,171,0
244,Title_244,Cricket,175,0
245,Title_245,Documentary,136,1
246,Title_246,Cricket,27,0
247,Title_247,Football,141,0
248,Title_248,Drama,111,0
249,Title_249,Drama,109,0
250,Title_250,Documentary,155,0
251,Title_251,Action,79,0
252,Title_252,Football,47,0
253,Title_253,Kabaddi,120,0
254,Title_254,Cricket,60,0
255,Title_255,Comedy,174,1
256,Title_256,Cricket,164,1
257,Title_257,Cricket,176,0
258,Title_258,Kabaddi,160,0
259,Title_259,Cricket,65,0
260,Title_260,Football,54,0
261,Title_261,Football,153,1
262,Title_262,Drama,101,0
263,Title_263,Documentary,134,0
264,Title_264,Action,66,0
265,Title_265,Comedy,172,0
266,Title_266,Cricket,29,0
267,Title_267,Cricket,75,0
268,Title_268,Kabaddi,49,0
269,Title_269,Documentary,128,0
270,Title_270,Football,24,0
271,Title_271,Comedy,138,0
272,Title_272,Drama,52,0
273,Title_273,Football,137,0
274,Title_274,Documentary,84,0
275,Title_275,Action,165,0
276,Title_276,Drama,30,0
277,Title_277,Action,104,0
278,Title_278,Kabaddi,45,0
279,Title_279,Kabaddi,82,1
280,Title_280,Cricket,105,0
281,Title_281,Action,78,0
282,Title_282,Documentary,46,0
283,Title_283,Comedy,117,0
284,Title_284,Drama,124,0
285,Title_285,Football,118,0
286,Title_286,Documentary,148,0
287,Title_287,Documentary,168,0
288,Title_288,Kabaddi,74,0
289,Title_289,Action,25,0
290,Title_290,Cricket,114,0
291,Title_291,Cricket,152,0
292,Title_292,Drama,121,0
293,Title_293,Kabaddi,22,0
294,Title_294,Documentary,42,0
295,Title_295,Comedy,72,0
296,Title_296,Kabaddi,102,0
297,Title_297,Drama,164,0
298,Title_298,Drama,104,0
299,Title_299,Kabaddi,97,0
300,Title_300,Drama,129,0
301,Title_301,Kabaddi,20,0
302,Title_302,Football,70,0
303,Title_303,Kabaddi,23,0
304,Title_304,Action,132,1
305,Title_305,Kabaddi,51,0
306,Title_306,Drama,53,1
307,Title_307,Action,111,0
308,Title_308,Drama,114,0
309,Title_309,Cricket,91,0
310,Title_310,Cricket,58,1
311,Title_311,Action,173,0
312,Title_312,Football,137,0
313,Title_313,Cricket,22,0
314,Title_314,Kabaddi,142,0
315,Title_315,Drama,69,0
316,Title_316,Cricket,31,0
317,Title_317,Cricket,73,0
318,Title_318,Football,152,0
319,Title_319,Action,76,1
320,Title_320,Action,164,1
321,Title_321,Documentary,131,0
322,Title_322,Football,66,0
323,Title_323,Kabaddi,170,1
324,Title_324,Action,104,0
325,Title_325,Drama,161,0
326,Title_326,Football,85,1
327,Title_327,Cricket,94,0
328,Title_328,Drama,122,0
329,Title_329,Drama,57,0
330,Title_330,Cricket,69,1
331,Title_331,Football,117,1
332,Title_332,Cricket,101,1
333,Title_333,Documentary,49,0
334,Title_334,Drama,98,1
335,Title_335,Comedy,110,0
336,Title_336,Comedy,71,0
337,Title_337,Kabaddi,98,0
338,Title_338,Action,49,0
339,Title_339,Cricket,125,0
340,Title_340,Cricket,70,0
341,Title_341,Kabaddi,100,0
342,Title_342,Kabaddi,152,0
343,Title_343,Kabaddi,48,0
344,Title_344,Drama,151,0
345,Title_345,Documentary,157,0
346,Title_346,Cricket,164,0
347,Title_347,Drama,93,0
348,Title_348,Kabaddi,36,0
349,Title_349,Cricket,103,0
350,Title_350,Drama,88,0
351,Title_351,Documentary,53,0
352,Title_352,Drama,25,1
353,Title_353,Documentary,72,0
354,Title_354,Kabaddi,145,0
355,Title_355,Documentary,62,0
356,Title_356,Cricket,134,1
357,Title_357,Kabaddi,130,0
358,Title_358,Cricket,170,1
359,Title_359,Comedy,99,0
360,Title_360,Football,114,1
361,Title_361,Documentary,137,0
362,Title_362,Football,163,1
363,Title_363,Football,27,0
364,Title_364,Documentary,151,0
365,Title_365,Kabaddi,123,0
366,Title_366,Comedy,151,0
367,Title_367,Cricket,44,0
368,Title_368,Drama,115,1
369,Title_369,Cricket,174,1
370,Title_370,Drama,112,0
371,Title_371,Cricket,179,0
372,Title_372,Documentary,80,0
373,Title_373,Comedy,141,0
374,Title_374,Drama,70,0
375,Title_375,Action,166,0
376,Title_376,Kabaddi,40,0
377,Title_377,Cricket,24,0
378,Title_378,Cricket,111,0
379,Title_379,Drama,80,0
380,Title_380,Kabaddi,41,0
381,Title_381,Kabaddi,168,0
382,Title_382,Documentary,89,1
383,Title_383,Action,20,0
384,Title_384,Documentary,152,0
385,Title_385,Documentary,31,0
386,Title_386,Documentary,109,0
387,Title_387,Documentary,65,1
388,Title_388,Documentary,53,0
389,Title_389,Comedy,97,0
390,Title_390,Kabaddi,64,0
391,Title_391,Documentary,174,1
392,Title_392,Kabaddi,92,1
393,Title_393,Kabaddi,45,0
394,Title_394,Football,66,0
395,Title_395,Comedy,140,0
396,Title_396,Documentary,75,1
397,Title_397,Cricket,113,0
398,Title_398,Drama,126,1
399,Title_399,Action,82,0
400,Title_400,Cricket,67,0
401,Title_401,Comedy,80,0
402,Title_402,Drama,100,0
403,Title_403,Comedy,45,0
404,Title_404,Kabaddi,55,0
405,Title_405,Drama,20,0
406,Title_406,Kabaddi,27,0
407,Title_407,Cricket,132,0
408,Title_408,Cricket,118,0
409,Title_409,Drama,66,1
410,Title_410,Drama,146,1
411,Title_411,Documentary,75,1
412,Title_412,Comedy,33,1
413,Title_413,Documentary,47,0
414,Title_414,Comedy,97,0
415,Title_415,Documentary,149,0
416,Title_416,Kabaddi,128,0
417,Title_417,Drama,173,0
418,Title_418,Cricket,33,0
419,Title_419,Comedy,75,0
420,Title_420,Comedy,134,0
421,Title_421,Cricket,26,0
422,Title_422,Documentary,22,0
423,Title_423,Comedy,130,0
424,Title_424,Action,170,0
425,Title_425,Kabaddi,126,1
426,Title_426,Drama,37,0
427,Title_427,Cricket,57,0
428,Title_428,Drama,134,1
429,Title_429,Action,34,1
430,Title_430,Comedy,138,1
431,Title_431,Comedy,47,0
432,Title_432,Action,58,0
433,Title_433,Cricket,36,0
434,Title_434,Kabaddi,105,0
435,Title_435,Football,145,0
436,Title_436,Cricket,63,0
437,Title_437,Football,44,0
438,Title_438,Action,164,0
439,Title_439,Documentary,32,0
440,Title_440,Football,44,0
441,Title_441,Kabaddi,87,0
442,Title_442,Documentary,157,0
443,Title_443,Football,86,0
444,Title_444,Action,128,1
445,Title_445,Documentary,165,0
446,Title_446,Action,130,0
447,Title_447,Football,130,0
448,Title_448,Action,53,0
449,Title_449,Kabaddi,130,0
450,Title_450,Football,27,0
451,Title_451,Football,132,0
452,Title_452,Football,102,0
453,Title_453,Cricket,61,1
454,Title_454,Cricket,120,0
455,Title_455,Cricket,25,0
456,Title_456,Kabaddi,45,1
457,Title_457,Documentary,83,1
458,Title_458,Action,78,0
459,Title_459,Comedy,128,0
460,Title_460,Football,140,0
461,Title_461,Action,52,0
462,Title_462,Football,169,0
463,Title_463,Kabaddi,40,0
464,Title_464,Football,89,0
465,Title_465,Cricket,131,1
466,Title_466,Comedy,23,1
467,Title_467,Drama,113,0
468,Title_468,Football,94,0
469,Title_469,Action,81,0
470,Title_470,Cricket,113,0
471,Title_471,Drama,114,0
472,Title_472,Comedy,171,0
473,Title_473,Drama,74,0
474,Title_474,Cricket,156,0
475,Title_475,Documentary,150,0
476,Title_476,Documentary,50,0
477,Title_477,Drama,59,0
478,Title_478,Kabaddi,55,0
479,Title_479,Action,171,1
480,Title_480,Action,25,0
481,Title_481,Drama,85,0
482,Title_482,Football,94,0
483,Title_483,Football,23,0
484,Title_484,Action,98,0
485,Title_485,Action,153,0
486,Title_486,Documentary,137,0
487,Title_487,Kabaddi,132,0
488,Title_488,Cricket,113,1
489,Title_489,Football,81,0
490,Title_490,Action,98,0
491,Title_491,Documentary,155,1
492,Title_492,Comedy,45,0
493,Title_493,Documentary,63,1
494,Title_494,Football,152,0
495,Title_495,Football,89,0
496,Title_496,Documentary,173,0
497,Title_497,Cricket,137,0
498,Title_498,Drama,87,0
499,Title_499,Football,38,0
500,Title_500,Documentary,39,0
